,occupancy,j_k,j_w,flip_0,flip_1,flip_2,flip_3,flip_4,flip_5
125,WKKKKC,0,0,4,0,0,0,0,0
126,WKKKKC,0,0,4,0,0,0,0,0
127,WKKKKC,0,0,4,0,0,0,0,0
128,WKKKKW,1,0,4,0,0,0,0,0
129,K0KKKW,-1,0,4,0,0,0,0,0
130,WKKKKW,2,0,4,0,0,0,0,0
131,KK0KKW,0,0,4,0,0,0,0,0
132,KK0KKW,1,0,4,0,0,0,0,0
133,KKK0KC,-3,0,4,0,0,0,0,0
134,WKKKKC,2,0,4,0,0,0,0,0
135,KK0KKC,1,0,4,0,0,0,0,0
136,KKK0KW,-1,0,4,0,0,0,0,0
137,WK0KKW,1,0,4,0,0,0,0,0
138,WKK0KW,0,0,4,0,0,0,0,0
139,WKK0KW,0,0,4,0,0,0,0,0
140,WKK0KW,0,0,4,0,0,0,0,0
141,WKK0KC,0,0,4,0,0,0,0,0
142,WKK0KC,-1,0,4,0,0,0,0,0
143,WK0KKC,1,0,4,0,0,0,0,0
144,WKK0KW,0,0,4,0,0,0,0,0
145,WKK0KW,0,0,4,0,0,0,0,0
146,WKK0KW,1,1,4,0,0,0,0,0
147,WKKKWC,0,0,4,0,0,0,0,0
148,WKKKWC,0,-1,4,0,0,0,0,1
149,WKKK0W,0,1,4,0,0,0,0,1
150,WKKKWW,0,0,4,0,0,0,0,0
151,WKKKWW,0,0,4,0,0,0,0,0
152,WKKKWW,0,0,4,0,0,0,0,0
153,WKKKWW,0,-1,4,0,0,0,0,4
154,WKKK0C,0,1,4,0,0,0,0,2
155,WKKKWW,0,0,4,0,0,0,0,0
156,WKKKWW,0,0,4,0,0,0,0,1
157,WKKKWW,0,0,4,0,0,0,0,0
158,WKKKWW,-1,-1,4,0,0,0,0,0
159,WKK0KW,0,0,4,0,0,0,0,0
160,WKK0KW,0,0,4,0,0,0,0,0
161,WKK0KW,0,0,4,0,0,0,0,0
162,WKK0KW,0,0,4,0,0,0,0,0
163,WKK0KW,0,0,4,0,0,0,0,0
164,WKK0KW,0,0,4,0,0,0,0,0
165,WKK0KW,1,1,4,0,0,0,0,0
166,WKKKWW,0,-1,4,0,0,0,0,2
167,WKKK0W,0,0,4,0,0,0,0,0
168,0KKK0W,0,0,4,0,0,0,0,0
169,WKKK0W,0,1,4,0,0,0,0,0
170,WKKKWW,0,0,4,0,0,0,0,2
171,WKKKWC,0,0,4,0,0,0,0,2
172,CKKKWC,0,0,4,0,0,0,0,0
173,WKKKWC,0,0,4,0,0,0,0,0
174,WKKKWC,0,0,4,0,0,0,0,0
175,WKKKWC,0,-1,4,0,0,0,0,0
176,WKKK0C,3,0,4,0,0,0,0,0
177,KK0KKW,-2,0,4,0,0,0,0,0
178,WKKKKW,0,0,4,0,0,0,0,0
179,WKKKKW,0,0,4,0,0,0,0,0
180,WKKKKW,0,0,4,0,0,0,0,0
181,WKKKKW,0,0,4,0,0,0,0,0
182,WKKKKC,0,0,4,0,0,0,0,0
183,WKKKKC,3,0,4,0,0,0,0,0
184,WKK0KC,0,0,4,0,0,0,0,0
185,WKK0KC,0,0,4,0,0,0,0,0
186,WKK0KC,0,0,4,0,0,0,0,0
187,WKK0KC,-1,0,4,0,0,0,0,0
188,WK0KKC,1,0,4,0,0,0,0,0
189,WKK0KC,-1,0,4,0,0,1,0,0
190,WK0KKC,0,0,4,0,0,0,0,0
191,WK0KKC,1,0,4,0,0,0,0,0
192,WKK0KW,0,0,4,0,0,0,0,0
193,WKK0KW,0,0,4,0,0,0,0,0
194,WKK0KW,0,0,4,0,0,0,0,0
195,WKK0KW,0,0,4,0,0,0,0,0
196,WKK0KW,0,0,4,0,0,0,0,0
197,WKK0KC,0,0,4,0,0,0,0,0
198,WKK0KW,0,0,4,0,0,0,0,3
199,0KK0KW,0,0,4,0,0,0,0,0
200,WKK0KW,0,0,4,0,0,0,0,0
201,WKK0KC,0,0,4,0,0,0,0,0
202,WKK0KC,0,0,4,0,0,0,0,0
203,WKK0KC,0,0,4,0,0,0,0,0
204,WKK0KC,0,0,4,0,0,0,0,0
205,WKK0KC,0,0,4,0,0,1,0,0
206,WKK0KC,2,0,4,0,0,0,0,0
207,WKKKKW,0,0,4,0,0,0,0,0
208,WKKKKW,3,0,4,0,0,0,0,0
209,KKK0KC,-3,0,4,0,0,0,0,0
210,WKKKKW,0,0,4,0,0,0,0,0
211,WKKKKW,0,0,4,0,0,0,0,0
212,WKKKKW,1,0,4,0,0,0,0,0
213,K0KKKW,-1,0,4,0,0,0,0,0
214,WKKKKW,0,0,4,0,0,0,0,0
215,WKKKKW,1,0,4,0,0,0,0,0
216,C0KKKW,-1,0,4,0,0,0,0,0
217,WKKKKW,-1,0,4,0,0,0,0,0
218,WKKK0C,1,0,4,0,0,0,0,0
219,WKKKKW,0,0,4,0,0,0,0,0
220,0KKKKW,0,0,4,0,0,0,0,0
221,CKKKKW,0,0,4,0,0,0,0,0
222,WKKKKW,0,0,4,0,0,0,0,0
223,WKKKKW,0,0,4,0,0,0,0,0
224,WKKKKW,0,0,4,0,0,0,0,0
225,WKKKKW,1,0,4,0,0,0,0,0
226,C0KKKC,-1,0,4,0,0,0,0,0
227,WKKKKW,0,0,4,0,0,0,0,0
228,WKKKKW,0,0,4,0,0,0,0,0
229,WKKKKW,2,0,4,0,0,0,0,0
230,CK0KKW,1,0,4,0,0,0,0,0
231,KKK0KW,-1,0,4,0,0,0,0,0
232,WK0KKW,0,0,4,0,0,0,0,0
233,WK0KKW,1,0,4,0,0,0,0,0
234,WKK0KW,0,0,4,0,0,0,0,0
235,WKK0KW,0,0,4,0,0,0,0,0
236,WKK0KW,0,0,4,0,0,0,0,0
237,WKK0KW,0,0,4,0,0,0,0,0
238,WKK0KW,0,0,4,0,0,0,0,0
239,WKK0KW,-1,0,4,0,0,0,0,0
240,WK0KKW,1,0,4,0,0,0,0,0
241,WKK0KC,-1,0,4,0,0,0,0,0
242,WK0KKW,1,0,4,0,0,0,0,0
243,WKK0KC,0,0,4,0,0,0,0,0
244,WKK0KC,0,0,4,0,0,0,0,0
245,WKK0KC,0,0,4,0,0,0,0,0
246,WKK0KW,0,0,4,0,0,0,0,0
247,WKK0KW,0,0,4,0,0,0,0,0
248,WKK0KW,-1,0,4,0,0,0,0,0
249,WK0KKW,1,0,4,0,0,1,0,0
250,WKK0KW,0,0,4,0,0,0,0,0
