,occupancy,j_k,j_w,flip_0,flip_1,flip_2,flip_3,flip_4,flip_5
148,WKK0KW,0,0,4,0,0,0,0,0
149,WKK0KW,0,0,4,0,0,0,0,0
150,WKK0KW,-1,0,4,0,0,0,0,0
151,WK0KKC,1,0,4,0,0,0,0,0
152,WKK0KC,0,0,4,0,0,0,0,0
153,WKK0KC,0,0,4,0,0,0,0,0
154,WKK0KC,0,0,4,0,0,0,0,0
155,CKK0KC,-1,0,4,0,0,0,0,0
156,CK0KKC,0,0,4,0,0,0,0,0
157,KK0KKC,1,0,4,0,0,0,0,0
158,KKK0KC,2,0,4,0,0,0,0,0
159,WKKKKC,0,0,4,0,0,0,0,0
160,0KKKKC,0,0,4,0,0,0,0,0
161,WKKKKC,1,0,4,0,0,0,0,0
162,C0KKKC,1,0,4,0,0,0,0,0
163,KK0KKW,0,0,4,0,0,0,0,0
164,KK0KKW,0,0,4,0,0,0,0,0
165,KK0KKW,0,0,4,0,0,0,0,0
166,KK0KKW,1,0,4,0,0,0,0,0
167,KKK0KC,0,0,4,0,0,0,0,0
168,KKK0KC,-1,0,4,0,0,0,0,0
169,KK0KKC,-1,0,4,0,0,0,0,0
170,C0KKKC,-1,0,4,0,0,0,0,0
171,WKKKKW,0,0,4,0,0,0,0,0
172,WKKKKW,0,0,4,0,0,0,0,0
173,WKKKKW,0,0,4,0,0,0,0,0
174,WKKKKW,0,0,4,0,0,0,0,0
175,WKKKKW,0,0,4,0,0,0,0,0
176,0KKKKW,2,0,4,0,0,0,0,0
177,CK0KKW,0,0,4,0,0,0,0,0
178,CK0KKW,0,0,4,0,0,0,0,0
179,KK0KKW,-1,0,4,0,0,0,0,0
180,K0KKKW,-1,0,4,0,0,0,0,0
181,0KKKKW,1,0,4,0,0,0,0,0
182,K0KKKW,-1,0,4,0,0,0,0,0
183,WKKKKW,0,0,4,0,0,0,0,0
184,WKKKKW,0,0,4,0,0,0,0,0
185,0KKKKW,0,0,4,0,0,0,0,0
186,WKKKKW,0,0,4,0,0,0,0,0
187,WKKKKW,2,0,4,0,0,0,0,0
188,KK0KKW,1,0,4,0,0,0,0,0
189,WKK0KC,0,0,4,0,0,4,0,0
190,WKK0KC,0,0,4,0,0,1,0,0
191,WKK0KW,0,0,4,0,0,4,0,0
192,WKK0KW,0,0,4,0,0,2,0,0
193,WKK0KW,0,0,4,0,0,2,0,0
194,WKK0KC,0,0,4,0,0,3,0,0
195,WKK0KC,0,0,4,0,0,4,0,0
196,WKK0KW,0,0,4,0,0,1,0,0
197,WKK0KW,0,0,4,0,0,4,0,0
198,WKK0KW,0,0,4,0,0,0,0,0
199,WKK0KW,0,0,4,0,0,0,0,0
200,WKK0KW,-1,0,4,0,0,0,0,0
201,WK0KKW,1,0,4,0,0,0,0,0
202,WKK0KW,1,1,4,0,0,0,0,0
203,WKKKWW,0,0,4,0,0,0,0,3
204,WKKKWC,0,0,4,0,0,0,0,0
205,WKKKWC,0,0,4,0,0,0,0,1
206,WKKKWC,0,0,4,0,0,0,0,0
207,WKKKWC,0,0,4,0,0,0,0,0
208,WKKKWC,0,0,4,0,0,0,0,0
209,0KKKWC,0,0,4,0,0,0,0,0
210,WKKKWC,0,0,4,0,0,0,0,0
211,WKKKWC,0,0,4,0,0,0,0,0
212,WKKKWC,0,0,4,0,0,0,0,0
213,WKKKWC,0,0,4,0,0,0,0,0
214,WKKKWC,0,0,4,0,0,0,0,1
215,WKKKWC,0,0,4,0,0,0,0,2
216,WKKKWC,0,0,4,0,0,0,0,3
217,WKKKWC,0,0,4,0,0,0,0,0
218,WKKKWC,0,-1,4,0,0,0,0,0
219,WKKK0C,1,0,4,0,0,0,0,0
220,WKKKKW,-1,0,4,0,0,0,0,0
221,WKKK0C,3,0,4,0,0,0,0,0
222,KK0KKW,-2,0,4,0,0,0,0,0
223,WKKKKW,0,0,4,0,0,0,0,0
224,WKKKKW,0,0,4,0,0,0,0,0
225,WKKKKW,0,0,4,0,0,0,0,0
226,WKKKKW,0,0,4,0,0,0,0,0
227,WKKKKW,0,0,4,0,0,0,0,0
228,WKKKKW,-1,0,4,0,0,0,0,0
229,WKKK0C,1,0,4,0,0,0,0,0
230,WKKKKW,0,0,4,0,0,0,0,0
231,WKKKKW,0,0,4,0,0,0,0,0
232,0KKKKC,0,0,4,0,0,0,0,0
233,WKKKKW,0,0,4,0,0,0,0,0
234,WKKKKC,2,0,4,0,0,0,0,0
235,CK0KKW,-2,0,4,0,0,0,0,0
236,WKKKKC,3,0,4,0,0,0,0,0
237,KKK0KC,0,0,4,0,0,0,0,0
238,WKK0KC,0,0,4,0,0,0,0,0
239,KKK0KC,-1,0,4,0,0,0,0,0
240,CK0KKC,1,0,4,0,0,0,0,0
241,CKK0KC,0,0,4,0,0,0,0,0
242,WKK0KC,0,0,4,0,0,2,0,0
243,WKK0KC,0,0,4,0,0,0,0,0
244,WKK0KC,3,0,4,0,0,0,0,0
245,K0KKKW,1,0,4,0,0,0,0,0
246,KK0KKW,-1,0,4,0,0,0,0,0
247,C0KKKW,-1,0,4,0,0,0,0,0
248,WKKKKW,0,0,4,0,0,0,0,0
249,WKKKKW,0,0,4,0,0,0,0,0
250,WKKKKW,0,0,4,0,0,0,0,0
